course,unit,node_id,cluster,theme,learning_objective,statement,classification,date,historical_development
APUSH,1,KC-1.1.I,Causation in the Period 1,GEO,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"Different native societies adapted to and transformed their environments through innovations in agriculture, resource use, and social structure.",essential,Pre-1491-1700,"Different native societies adapted to and transformed their environments through innovations in agriculture, resource use, and social structure."
APUSH,1,KC-1.1.I.A,Native American Societies Before European Contact,GEO,Explain how and why various native populations in the period before European contact interacted with the natural environment in North America,"The spread of maize cultivation from present day Mexico northward into the present-day American Southwest and beyond supported economic development, settlement, advanced irrigation, and social diversification among societies.",essential,2500 BCE - 1500 CE,"The spread of maize cultivation from present day Mexico northward into the present-day American Southwest and beyond supported economic development, settlement, advanced irrigation, and social diversification among societies."
APUSH,1,KC-1.1.I.B,Native American Societies Before European Contact,GEO,Explain how and why various native populations in the period before European contact interacted with the natural environment in North America,Societies responded to the aridity of the Great Basin and the grasslands of the western Great Plains by developing largely mobile lifestyles.,supporting,Pre-1491,Societies responded to the aridity of the Great Basin and the grasslands of the western Great Plains by developing largely mobile lifestyles.
APUSH,1,KC-1.1.I.C,Native American Societies Before European Contact,GEO,Explain how and why various native populations in the period before European contact interacted with the natural environment in North America,"In the Northeast, the Mississippi River Valley, and along the Atlantic seaboard, some societies developed mixed agricultural and hunter-gatherer economies that favored the development of permanent villages.",supporting,Pre-1491,"In the Northeast, the Mississippi River Valley, and along the Atlantic seaboard, some societies developed mixed agricultural and hunter-gatherer economies that favored the development of permanent villages."
APUSH,1,KC-1.1.I.D,Native American Societies Before European Contact,GEO,Explain how and why various native populations in the period before European contact interacted with the natural environment in North America,"Societies in the Northwest and present-day California supported themselves by hunting and gathering, and in some areas developed settled communities supported by the vast resources of the ocean.",supporting,Pre-1491,"Societies in the Northwest and present-day California supported themselves by hunting and gathering, and in some areas developed settled communities supported by the vast resources of the ocean."
APUSH,1,KC-1.2.I,Causation in the Period 1,WOR,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"European expansion into the Western Hemisphere generated intense social, religious, political, and economic competition and changes within European societies.",essential,15th-17th centuries,"European expansion into the Western Hemisphere generated intense social, religious, political, and economic competition and changes within European societies."
APUSH,1,KC-1.2.I.A,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity",essential,1400s-1600s,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,KC-1.2.I.B,"Columbian Exchange, Spanish Exploration, and Conquest",WXT,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"The Columbian Exchange brought new crops to Europe from the Americas, stimulating European population growth, and new sources of mineral wealth, which facilitated the European shift from feudalism to capitalism.",essential,1492-1600,"The Columbian Exchange brought new crops to Europe from the Americas, stimulating European population growth, and new sources of mineral wealth, which facilitated the European shift from feudalism to capitalism."
APUSH,1,KC-1.2.I.C,"Columbian Exchange, Spanish Exploration, and Conquest",WXT,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"Improvements in maritime technology and more organized methods for conducting international trade, such as joint-stock companies, helped drive changes to economies in Europe and the Americas.",essential,16th-17th centuries,"Improvements in maritime technology and more organized methods for conducting international trade, such as joint-stock companies, helped drive changes to economies in Europe and the Americas."
APUSH,1,KC-1.2.II,Causation in the Period 1,WOR,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"The Columbian Exchange and development of the Spanish Empire in the Western Hemisphere resulted in extensive demographic, economic, and social changes.",essential,1492-1600,"The Columbian Exchange and development of the Spanish Empire in the Western Hemisphere resulted in extensive demographic, economic, and social changes."
APUSH,1,KC-1.2.II.A,"Columbian Exchange, Spanish Exploration, and Conquest",GEO,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,Spanish exploration and conquest of the Americas were accompanied and furthered by widespread deadly epidemics that devastated native populations and by the introduction of crops and animals not found in the Americas.,essential,1492-1600,Spanish exploration and conquest of the Americas were accompanied and furthered by widespread deadly epidemics that devastated native populations and by the introduction of crops and animals not found in the Americas.
APUSH,1,KC-1.2.II.B,"Labor, Slavery, and Caste in the Spanish Colonial System",WXT,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"In the encomienda system, Spanish colonial economies marshaled Native American labor to support plantation-based agriculture and extract precious metals and other resources.",supporting,16th-17th centuries,"In the encomienda system, Spanish colonial economies marshaled Native American labor to support plantation-based agriculture and extract precious metals and other resources."
APUSH,1,KC-1.2.II.C,"Labor, Slavery, and Caste in the Spanish Colonial System",WOR,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,European traders partnered with some West African groups who practiced slavery to forcibly extract slave labor for the Americas. The Spanish imported enslaved Africans to labor in plantation agriculture and mining.,essential,1500s-1600s,European traders partnered with some West African groups who practiced slavery to forcibly extract slave labor for the Americas. The Spanish imported enslaved Africans to labor in plantation agriculture and mining.
APUSH,1,KC-1.2.II.D,"Labor, Slavery, and Caste in the Spanish Colonial System",SOC,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"The Spanish developed a caste system that incorporated, and carefully defined the status of, the diverse population of Europeans, Africans, and Native Americans in their empire.",supporting,1500s-1700s,"The Spanish developed a caste system that incorporated, and carefully defined the status of, the diverse population of Europeans, Africans, and Native Americans in their empire."
APUSH,1,KC-1.2.III,Causation in the Period 1,,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"In their interactions, Europeans and Native Americans asserted divergent worldviews regarding issues such as religion, gender roles, family, land use, and power.",essential,,
APUSH,1,KC-1.2.III.A,"Cultural Interactions Between Europeans, Native Americans,and Africans",ARC,Explain how and why European and Native American perspectives of others developed and changed in the period.,"Mutual misunderstandings between Europeans and Native Americans often defined the early years of interaction and trade as each group sought to make sense of the other. Over time, Europeans and Native Americans adopted some useful aspects of each other's culture.",supporting,1500s-1600s,"Mutual misunderstandings between Europeans and Native Americans often defined the early years of interaction and trade as each group sought to make sense of the other. Over time, Europeans and Native Americans adopted some useful aspects of each other's culture."
